country,area_ha,rest_area,population,tstor_woody,tstor_soil,tstor_total,carbon_seq_potl
Bolivia,2856446.29,0,13290.21484375,304437793.20703125,165683704,470121497.20703125,0
Brazil,45848960.191414274,226.35,625493.1363099738,13523130064.316092,2879826773.736328,16402956838.05242,281.4888020840678
Cambodia,1030846.3336323329,255.10999999999999,41250.69121310115,302225164.6963501,91106952.75891113,393332117.45526123,0
China,164936.95,129.66,72581.41797956824,20459372.82373047,21217759.97350788,41677132.79723835,163.5804383828165
Colombia,3025033.030923683,808.1974122720155,241254.33523977874,24886829.502506733,23355093.0847435,48241922.58725023,878.1417712425124
Costa Rica,1421927.4492677536,328.28,26524.024044804275,4889711.264518738,5341478.620471954,10231189.884990692,379.7499838432264
Ecuador,14859615.089807453,0,344250.7732003331,453681957.21841383,283791238.2281456,737473195.4465594,0
Fiji,19288.248353346564,14930.148353346567,1449.9351524976082,4554235.581127167,2696898.0628442764,7251133.643971443,60758.76330509612
Guyana,1133673.2943698715,0,7056.801155177411,310360596.3266754,74050672.24346161,384411268.570137,0
Indonesia,6938838.771710239,25153.05187053932,634676.5334658711,1692915572.8720798,775497592.3840294,2468413165.2561092,25246.903577752095
Kenya,794683.8854506918,410664.4754506919,83195.142578125,19623953,40507138,60131091,801877.3817902441
Liberia,565280.2123072769,0,159794.3010981083,90249232.46484375,37377468.14035034,127626700.60519409,0
Madagascar,1490633.4400657248,129.92000000000002,255448.6349181831,220127535.73313808,128768285.17680311,348895820.9099412,155.9526793899184
Mexico,1918204.8116937897,0,133084.36537718773,359532837.7279663,179744729.980011,539277567.7079773,0
New Caledonia,144436562.12868446,9356.26,95939.51751864702,13248561.018148422,39803529.98613739,53052091.00428581,4785.815643225201
Panama,523755.14999999997,0,4078.6884155273437,27512650.197265625,16909395.9375,44422046.134765625,0
Peru,1204029.674271136,513.69,142418.44776563346,353281321.52467346,157156229.905365,510437551.43003845,0
Philippines,458231.38401885645,0,96976.7433692962,109240797.07107385,53113836.259262085,162354633.33033592,0
Samoa,19338.40311180556,0,26872.918531686068,0,2410719.3902282715,2410719.3902282715,0
South Africa,273152.2208093272,273152.2208093272,18383.429060613737,789517.2018680573,7255336.0005989075,8044853.202466965,77574.08908679732
Suriname,1897175.1646036557,0,678.7828273095656,913559892.4082794,115361531.98192024,1028921424.3901997,0
Timor-Leste,44425.725960063224,40381.25596006323,15190.054466411471,7541730.984641075,4073198.8842964172,11614929.868937492,67044.7499399971
US-Hawaii,3789.38,0,241.3425747156143,0,128771.91833496094,128771.91833496094,0
