ci_divisio,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
Africa Field Division,Grassland,227315.93761823257,287847.95987439156,529555.5481957272,2.7297891418877342,0
Africa Field Division,Mangroves,26582.562708854675,22211.74991083145,23821.766466617584,0.10717750862700942,26582.562708854675
Africa Field Division,Peatland,618.28369140625,493.3093566894531,493.3093566894531,0.00645093452756065,0
Africa Field Division,Primary forest,135277.15496380022,198919.07682414353,404161.1832358092,-3.6629318856005195,0
Africa Field Division,Salt marsh,4729.964015007019,3592.553295135498,3987.172191619873,0.06241969339434009,4729.964015007019
Africa Field Division,Seagrass,2232.3164191246033,1978.8253383636475,1978.8253383636475,0.0344006242371521,2232.3164191246033
Africa Field Division,Secondary forest,73270.60115341951,89550.23312583566,181683.27490336448,-0.35557391983267816,0
Africa Field Division,Wetlands,46314.03789663315,53383.52764040232,65252.881542027,0.40644351555996866,0
Americas Field Division,Grassland,562944.8075058971,558347.6514632637,1474137.817160373,12.94090061875486,0
Americas Field Division,Mangroves,76124.42020438984,51557.051568293944,59072.19063680805,1.468774460634193,76124.42020438984
Americas Field Division,Peatland,2550.7349395751953,1633.309684753418,1633.309684753418,0.009014693307235028,0
Americas Field Division,Primary forest,17383546.588437434,23891264.63318922,35321456.34074468,43.417036295355445,0
Americas Field Division,Salt marsh,13166.957860928029,10684.645146172494,11916.399933617562,1.4535511392732199,13166.957860928029
Americas Field Division,Seagrass,5406.223711013794,3717.1368824243546,3911.035930275917,0.11495564002514198,5406.223711013794
Americas Field Division,Secondary forest,1443054.6774103788,1738243.3860850316,3355047.008781941,19.308302092158726,0
Americas Field Division,Wetlands,305350.2257373105,305478.72724839486,374214.48095590994,5.532292836847171,0
Asia-Pacific Field Division,Grassland,230735.3149594355,156811.87865375727,219437.25496684015,13.34787704352519,0
Asia-Pacific Field Division,Mangroves,56346.08088718634,41373.46245879121,42322.21872252412,2.500690027754198,56346.08088718634
Asia-Pacific Field Division,Peatland,7743.562561035156,5714.543319702148,6740.808349609375,0.12851876466445208,0
Asia-Pacific Field Division,Primary forest,3177992.3335123095,3194233.860976994,3726671.1057836115,40.08848792584533,0
Asia-Pacific Field Division,Salt marsh,21160.924161869567,24552.25467522256,25614.461668325588,-1.1650817395397663,21160.924161869567
Asia-Pacific Field Division,Seagrass,163722.41520118713,281240.5274053812,282302.0841604471,2.5246640277617804,163722.41520118713
Asia-Pacific Field Division,Secondary forest,876223.6435357506,624434.4507235375,826965.9314156522,14.449306040805727,0
Asia-Pacific Field Division,Wetlands,103978.61105267704,69942.19525197148,73373.6130413711,27.10009855580286,0
Center for Oceans,Grassland,18.798026151955128,20.256615161895752,69.29746264219284,0.5048842634940824,0
Center for Oceans,Primary forest,7.315847873687744,23.118568420410156,23.118568420410156,0.00225380402763023,0
Center for Oceans,Secondary forest,0.2625663336366415,0,9.155022740364075,0.005041175615460135,0
Center for Oceans,Wetlands,8.104026794433594,11.575815200805664,11.575815200805664,0.00249661946840221,0
